Sample in Buffer,Sample in Window,TRIGGER,Aquila_SoC/RISCV_CORE0/Decode/pc_o[31:0],Aquila_SoC/RISCV_CORE0/exe_branch_misprediction
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
384,384,0,00001e2c,0
385,385,0,00001e0c,0
386,386,0,00001e10,0
387,387,0,00001e14,0
388,388,0,00001e18,0
389,389,0,00001e18,0
390,390,0,00001e1c,0
391,391,0,00001e1c,0
392,392,0,00001e1c,0
393,393,0,00001e20,0
394,394,0,00001e24,0
395,395,0,00001e28,0
396,396,0,00001e2c,0
397,397,0,00001e0c,0
398,398,0,00001e10,0
399,399,0,00001e14,0
400,400,0,00001e18,0
401,401,0,00001e18,0
402,402,0,00001e1c,0
403,403,0,00001e1c,0
404,404,0,00001e1c,0
405,405,0,00001e20,0
406,406,0,00001e24,0
407,407,0,00001e28,0
408,408,0,00001e2c,1
409,409,0,00001e0c,0
410,410,0,00001e10,0
411,411,0,00001e30,0
412,412,0,00001e34,0
413,413,0,00001e38,0
414,414,0,00001e38,0
415,415,0,00001e3c,0
416,416,0,00001e40,0
417,417,0,00001e40,0
418,418,0,00001e30,0
419,419,0,00001e34,0
420,420,0,00001e38,0
421,421,0,00001e38,0
422,422,0,00001e3c,0
423,423,0,00001e40,0
424,424,0,00001e40,0
425,425,0,00001e30,0
426,426,0,00001e34,0
427,427,0,00001e38,0
428,428,0,00001e38,0
429,429,0,00001e3c,0
430,430,0,00001e40,1
431,431,0,00001e40,1
432,432,0,00001e30,0
433,433,0,00001e34,0
434,434,0,00001e44,0
435,435,0,00001e48,0
436,436,0,00001e4c,0
437,437,0,00004d74,0
438,438,0,00004d78,0
439,439,0,00004d7c,0
440,440,0,00004d80,0
441,441,0,00004d84,0
442,442,0,00004d88,0
443,443,0,00004d8c,0
444,444,0,00004d8c,0
445,445,0,00004d90,0
446,446,0,00004d94,0
447,447,0,00001860,0
448,448,0,00001864,0
449,449,0,00001868,0
450,450,0,00001868,0
451,451,0,0000186c,0
452,452,0,0000186c,0
453,453,0,00001870,0
454,454,0,00001870,0
455,455,0,00001874,0
456,456,0,00001874,0
457,457,0,00001878,0
458,458,0,00001878,0
459,459,0,0000187c,0
460,460,0,0000187c,0
461,461,0,00001880,0
462,462,0,00001880,0
463,463,0,00001884,0
464,464,0,00001884,0
465,465,0,00001888,0
466,466,0,00001888,0
467,467,0,0000188c,0
468,468,0,0000188c,0
469,469,0,00001890,0
470,470,0,00001890,0
471,471,0,00001894,0
472,472,0,00001894,0
473,473,0,00001898,0
474,474,0,00001898,0
475,475,0,0000189c,0
476,476,0,0000189c,0
477,477,0,000018a0,0
478,478,0,000018a0,0
479,479,0,000018a4,0
480,480,0,000018a4,0
481,481,0,000018a8,0
482,482,0,000018a8,0
483,483,0,000018ac,0
484,484,0,000018ac,0
485,485,0,000018b0,0
486,486,0,000018b0,0
487,487,0,000018b4,0
488,488,0,000018b4,0
489,489,0,000018b8,0
490,490,0,000018bc,0
491,491,0,000018c0,0
492,492,0,000018c0,0
493,493,0,000018c4,0
494,494,0,000018c4,0
495,495,0,000018c8,0
496,496,0,000018cc,0
497,497,0,000018cc,0
498,498,0,000018d0,0
499,499,0,000018d4,0
500,500,0,000018d8,0
501,501,0,000018dc,0
502,502,0,000018e0,0
503,503,0,000018e4,0
504,504,0,000018e8,0
505,505,0,000018ec,0
506,506,0,000018f0,0
507,507,0,000018f4,0
508,508,0,000018f8,0
509,509,0,000018fc,0
510,510,0,00001900,0
511,511,0,00001914,0
512,512,0,00001918,0
513,513,0,0000191c,0
514,514,0,00001920,0
515,515,0,000018fc,0
516,516,0,00001900,0
517,517,0,00001904,0
518,518,0,00002328,0
519,519,0,0000232c,0
520,520,0,00002330,0
521,521,0,00002334,0
522,522,0,00002348,0
523,523,0,0000234c,0
524,524,0,00002350,0
525,525,0,00002350,0
526,526,0,00002350,0
527,527,0,00002354,0
528,528,0,00002358,0
529,529,0,0000235c,0
530,530,0,0000234c,0
531,531,0,00002350,0
532,532,0,00002350,0
533,533,0,00002350,0
534,534,0,00002354,0
535,535,0,0000234c,0
536,536,0,00002350,0
537,537,0,00002350,0
538,538,0,00002350,0
539,539,0,00002354,0
540,540,0,0000234c,0
541,541,0,00002350,0
542,542,0,00002350,0
543,543,0,00002350,0
544,544,0,00002354,0
545,545,0,0000234c,0
546,546,0,00002350,0
547,547,0,00002350,0
548,548,0,00002350,0
549,549,0,00002354,0
550,550,0,0000234c,0
551,551,0,00002350,0
552,552,0,00002350,0
553,553,0,00002350,0
554,554,0,00002354,0
555,555,0,0000234c,0
556,556,0,00002350,0
557,557,0,00002350,0
558,558,0,00002350,0
559,559,0,00002354,0
560,560,0,0000234c,0
561,561,0,00002350,0
562,562,0,00002350,0
563,563,0,00002350,0
564,564,0,00002354,0
565,565,0,0000234c,0
566,566,0,00002350,0
567,567,0,00002350,0
568,568,0,00002350,0
569,569,0,00002354,0
570,570,0,0000234c,0
571,571,0,00002350,0
572,572,0,00002350,0
573,573,0,00002350,0
574,574,0,00002354,0
575,575,0,0000234c,0
576,576,0,00002350,0
577,577,0,00002350,0
578,578,0,00002350,0
579,579,0,00002354,0
580,580,0,0000234c,0
581,581,0,00002350,0
582,582,0,00002350,0
583,583,0,00002350,0
584,584,0,00002354,0
585,585,0,0000234c,0
586,586,0,00002350,0
587,587,0,00002350,0
588,588,0,00002350,0
589,589,0,00002354,0
590,590,0,0000234c,0
591,591,0,00002350,0
592,592,0,00002350,0
593,593,0,00002350,0
594,594,0,00002354,0
595,595,0,0000234c,0
596,596,0,00002350,0
597,597,0,00002350,0
598,598,0,00002350,0
599,599,0,00002354,0
600,600,0,0000234c,0
601,601,0,00002350,0
602,602,0,00002350,0
603,603,0,00002350,0
604,604,0,00002354,0
605,605,0,0000234c,0
606,606,0,00002350,0
607,607,0,00002350,0
608,608,0,00002350,0
609,609,0,00002354,0
610,610,0,0000234c,0
611,611,0,00002350,0
612,612,0,00002350,0
613,613,0,00002350,0
614,614,0,00002354,0
615,615,0,0000234c,0
616,616,0,00002350,0
617,617,0,00002350,0
618,618,0,00002350,0
619,619,0,00002354,0
620,620,0,0000234c,0
621,621,0,00002350,0
622,622,0,00002350,0
623,623,0,00002350,0
624,624,0,00002354,0
625,625,0,0000234c,0
626,626,0,00002350,0
627,627,0,00002350,0
628,628,0,00002350,0
629,629,0,00002354,0
630,630,0,0000234c,0
631,631,0,00002350,0
632,632,0,00002350,0
633,633,0,00002350,0
634,634,0,00002354,0
635,635,0,0000234c,0
636,636,0,00002350,0
637,637,0,00002350,0
638,638,0,00002350,0
639,639,0,00002354,0
640,640,0,0000234c,0
641,641,0,00002350,0
642,642,0,00002350,0
643,643,0,00002350,0
644,644,0,00002354,0
645,645,0,0000234c,0
